date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:07:02	38059/38059	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2021:07:01%20GMT	http://www.bi-plane.co.kr/sub12_2.html	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/sub12_2.html	(from http://www.bi-plane.co.kr/)
06:07:03	39446/39446	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2021:07:01%20GMT	http://www.bi-plane.co.kr/sub12_4.html	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/sub12_4.html	(from http://www.bi-plane.co.kr/)
06:07:04	36861/36861	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2021:07:02%20GMT	http://www.bi-plane.co.kr/sub12_5.html	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/sub12_5.html	(from http://www.bi-plane.co.kr/)
06:07:04	37162/37162	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2021:07:03%20GMT	http://www.bi-plane.co.kr/sub12_6.html	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/sub12_6.html	(from http://www.bi-plane.co.kr/)
06:07:05	37310/37310	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2021:07:03%20GMT	http://www.bi-plane.co.kr/sub13_1.html	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/sub13_1.html	(from http://www.bi-plane.co.kr/)
06:07:06	32413/32413	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2021:07:05%20GMT	http://www.bi-plane.co.kr/sub13_2.html	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/sub13_2.html	(from http://www.bi-plane.co.kr/)
06:07:06	38564/38564	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2021:07:05%20GMT	http://www.bi-plane.co.kr/sub13_3.html	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/sub13_3.html	(from http://www.bi-plane.co.kr/)
06:07:07	31636/31636	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2021:07:06%20GMT	http://www.bi-plane.co.kr/sub13_4.html	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/sub13_4.html	(from http://www.bi-plane.co.kr/)
06:07:08	37414/37414	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2021:07:07%20GMT	http://www.bi-plane.co.kr/sub14_2.html	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/sub14_2.html	(from http://www.bi-plane.co.kr/)
06:07:08	34900/34900	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2021:07:07%20GMT	http://www.bi-plane.co.kr/sub14_6.html	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/sub14_6.html	(from http://www.bi-plane.co.kr/)
06:07:09	32573/32573	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2021:07:07%20GMT	http://www.bi-plane.co.kr/sub14_7.html	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/sub14_7.html	(from http://www.bi-plane.co.kr/)
06:07:10	33199/33199	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2021:07:09%20GMT	http://www.bi-plane.co.kr/online.html	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/online.html	(from http://www.bi-plane.co.kr/)
06:07:11	37542/37542	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2021:07:09%20GMT	http://www.bi-plane.co.kr/case.html	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/case.html	(from http://www.bi-plane.co.kr/)
06:07:11	34404/34404	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2021:07:10%20GMT	http://www.bi-plane.co.kr/notice.html?cate=%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/noticedde9.html	(from http://www.bi-plane.co.kr/)
06:07:12	26121/26121	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2021:07:11%20GMT	http://www.bi-plane.co.kr/login.html	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/login.html	(from http://www.bi-plane.co.kr/)
06:07:12	232745/232745	---M--	200	added ('OK')	image/jpeg	etag:%2238fc9fe-38d29-5a0b07a0%22	http://bi-plane.co.kr/img/main/visual1.jpg	C:/Data/javascript/ex/copy/test3/bi-plane.co.kr/img/main/visual1.jpg	(from http://www.bi-plane.co.kr/)
06:07:13	46300/46300	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2021:07:11%20GMT	http://www.bi-plane.co.kr/join_agree.html	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/join_agree.html	(from http://www.bi-plane.co.kr/)
06:07:13	27059/27059	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2021:07:12%20GMT	http://www.bi-plane.co.kr/find_idpw.html	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/find_idpw.html	(from http://www.bi-plane.co.kr/)
06:07:14	3600/3600	---M--	200	added ('OK')	image/png	etag:%2238e4165-e10-5a0b0793%22	http://www.bi-plane.co.kr/img/comm/quick_contact.png	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/img/comm/quick_contact.png	(from http://www.bi-plane.co.kr/)
06:07:14	3227/3227	---M--	200	added ('OK')	image/png	etag:%2238fca01-c9b-5a0b079f%22	http://www.bi-plane.co.kr/img/main/sl_icon_1.png	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/img/main/sl_icon_1.png	(from http://www.bi-plane.co.kr/)
06:07:14	1661/1661	---M--	200	added ('OK')	image/png	etag:%2229916b-67d-5a644fc8%22	http://www.bi-plane.co.kr/m/img/main/sl_icon_gerd.png	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/m/img/main/sl_icon_gerd.png	(from http://www.bi-plane.co.kr/)
06:07:15	3417/3417	---M--	200	added ('OK')	image/png	etag:%2238fc9ed-d59-5a0b079f%22	http://www.bi-plane.co.kr/img/main/sl_icon_2.png	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/img/main/sl_icon_2.png	(from http://www.bi-plane.co.kr/)
06:07:15	3065/3065	---M--	200	added ('OK')	image/png	etag:%2238fc9f0-bf9-5a0b079e%22	http://www.bi-plane.co.kr/img/main/sl_icon_4.png	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/img/main/sl_icon_4.png	(from http://www.bi-plane.co.kr/)
06:07:15	3109/3109	---M--	200	added ('OK')	image/png	etag:%2238fc9f6-c25-5a0b079e%22	http://www.bi-plane.co.kr/img/main/sl_icon_5.png	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/img/main/sl_icon_5.png	(from http://www.bi-plane.co.kr/)
06:07:16	1867/1867	---M--	200	added ('OK')	image/png	etag:%2229916d-74b-5a645195%22	http://www.bi-plane.co.kr/m/img/main/sl_icon_car.png	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/m/img/main/sl_icon_car.png	(from http://www.bi-plane.co.kr/)
06:07:16	25005/25005	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2021:07:16%20GMT	http://www.bi-plane.co.kr/board_view.html?pid=308&cate=%EA%B3%B5%EC%A7%80%EC%82%AC%ED%95%AD&page_num=1	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/board_view182b.html	(from http://www.bi-plane.co.kr/)
06:07:20	20499/20499	---M--	200	added ('OK')	image/jpeg	etag:%2238fc005-5013-5c6d3290%22	http://www.bi-plane.co.kr/img/main/banner2.jpg	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/img/main/banner2.jpg	(from http://www.bi-plane.co.kr/)
06:07:22	38879/38879	---M--	200	added ('OK')	image/jpeg	etag:%2238fc021-97df-5ae5b40c%22	http://www.bi-plane.co.kr/img/main/banner1.jpg	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/img/main/banner1.jpg	(from http://www.bi-plane.co.kr/)
06:07:25	35540/35540	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2021:07:23%20GMT	http://www.bi-plane.co.kr/notice.html?cate=%eb%b0%94%ec%9d%b4%ed%94%8c%eb%9e%9c%eb%89%b4%ec%8a%a4	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/notice5ec5.html	(from http://www.bi-plane.co.kr/)
06:07:28	30480/30480	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2021:07:26%20GMT	http://www.bi-plane.co.kr/board_view.html?pid=118	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/board_view3348.html	(from http://www.bi-plane.co.kr/)
06:07:28	54217/54217	---M--	200	added ('OK')	image/jpeg	etag:%2238fc01d-d3c9-5b62a53b%22	http://www.bi-plane.co.kr/img/main/banner3.jpg	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/img/main/banner3.jpg	(from http://www.bi-plane.co.kr/)
06:07:29	128/128	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2021:07:29%20GMT	http://www.bi-plane.co.kr/case_view.html?pid=404	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/case_view8a68.html	(from http://www.bi-plane.co.kr/)
06:07:33	29600/29600	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2021:07:30%20GMT	http://www.bi-plane.co.kr/review.html	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/review.html	(from http://www.bi-plane.co.kr/)
06:07:33	37201/37201	---M--	200	added ('OK')	image/jpeg	etag:%223880134-9151-5a0aaf67%22	http://www.bi-plane.co.kr/upfile/board/S_frank_1.jpg	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/upfile/board/S_frank_1.jpg	(from http://www.bi-plane.co.kr/)
06:07:34	129/129	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2021:07:33%20GMT	http://www.bi-plane.co.kr/review_view.html?pid=96	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/review_view139a.html	(from http://www.bi-plane.co.kr/)
06:07:35	26673/26673	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2021:07:34%20GMT	http://www.bi-plane.co.kr/board_view.html?pid=393	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/board_viewc5b2.html	(from http://www.bi-plane.co.kr/)
06:07:35	4051/4051	---M--	200	added ('OK')	image/png	etag:%2238e4189-fd3-5a0b0792%22	http://www.bi-plane.co.kr/img/comm/logo_footer.png	C:/Data/javascript/ex/copy/test3/www.bi-plane.co.kr/img/comm/logo_footer.png	(from http://www.bi-plane.co.kr/)
